Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,12500000,Net,Monthly,"Insurance, full WFH(currently), 18 days off,",
Project Manager,Purchase to unlock 👆,Other / Unknown,9,Jakarta,ID,Male,IDR,14300000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,3,Semarang,ID,Male,IDR,6000000,Gross,Monthly,,
Project Manager,Gojek,Other / Unknown,1,Jakarta,ID,Female,IDR,5000000,Gross,Monthly,Stock options,
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Depok,ID,Prefer not to tell,IDR,20000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,4,Surabaya,ID,Male,IDR,30000000,Gross,Monthly,Opsi saham,
Data Analyst,Purchase to unlock 👆,Other / Unknown,4,Surabaya,ID,Male,USD,30000000,Gross,Monthly,"Opsi saham, uang pangkal, konsumsi, fasilitas kesehatan, operasional (laptop), dana transportasi.",
Project Manager,Purchase to unlock 👆,Edtech,2,Jakarta,ID,Male,IDR,15700000,Gross,Monthly,1x Bonus / Year Full WFH,
Project Manager,Purchase to unlock 👆,Other / Unknown,10,Jakarta,ID,Male,IDR,24000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Edtech,3,Jakarta,ID,Female,IDR,11500000,Gross,Monthly,"BPJS, Insurance",
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Male,IDR,7000000,Gross,Monthly,"Health Insurance, Yearly Bonus",
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Surabaya,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,,Verified
Data Analyst,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,18200000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,Wallet Startup,5,Jakarta,ID,Prefer not to tell,IDR,30000000,Net,Monthly,"Meals, Communication",
Project Manager,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,13000000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Yogyakarta,ID,Prefer not to tell,IDR,4000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,8000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,6,Jakarta,ID,Prefer not to tell,IDR,20000000,Gross,Monthly,,
