Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,26000000,Net,Monthly,,
Software Engineer,Shopee,Other / Unknown,2,Jakarta,ID,Male,IDR,21500000,Gross,Monthly,meal benefit and transportation benefit,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,5,Surabaya,ID,Male,IDR,2800000,Gross,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,8500000,Net,Monthly,"15 Days off, Health insurance from AstraLife (for Eyeglass and Tooth)",Verified
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,5,Banten,ID,Male,IDR,20000000,Gross,Monthly,,
UX Writer,Purchase to unlock 👆,Other / Unknown,0,Semarang,ID,Male,IDR,3500000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Yogyakarta,ID,Prefer not to tell,IDR,21000000,Net,Monthly,Annual Bonus: 1x salary,Verified
Software Engineer,Tokopedia,Other / Unknown,1,Banten,ID,Prefer not to tell,IDR,1200000,Net,Monthly,,
Android Developer,Purchase to unlock 👆,Other / Unknown,0,Jakarta,ID,Prefer not to tell,IDR,2400000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,11450000,Gross,Monthly,,
UI Designer,Purchase to unlock 👆,Other / Unknown,15,Bogor,ID,Male,IDR,34000000,Net,Monthly,,
Data Engineer,Purchase to unlock 👆,Car Marketplace,4,Banten,ID,Prefer not to tell,IDR,19000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,35000000,Net,Monthly,Health Insurance Employee loan,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,1,Bekasi,ID,Male,IDR,5000000,Gross,Monthly,,
Frontend Engineer,Purchase to unlock 👆,Bank,1,Jakarta,ID,Male,IDR,6200000,Net,Monthly,Include Transportation Compensation,
Android Developer,Purchase to unlock 👆,Other / Unknown,3,Banten,ID,Male,IDR,5000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,3,Surabaya,ID,Prefer not to tell,IDR,18000000,Gross,Monthly,"BPJS, private Insurance",
Backend Engineer,tiket.com,Other / Unknown,1,Surabaya,ID,Male,IDR,3000000,Net,Monthly,"(Macbook Pro 2018, COVID Test Reimburse)",
Backend Engineer,Purchase to unlock 👆,Other / Unknown,1,Depok,ID,Male,IDR,10100000,Gross,Monthly,,Verified
Backend Engineer,Purchase to unlock 👆,SaaS,2,Yogyakarta,ID,Male,IDR,11500000,Gross,Monthly,,
Project Manager,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,22500000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,4,Jakarta,ID,Male,IDR,13999998,Net,Monthly,Insurance,
Software Engineer,Purchase to unlock 👆,Other / Unknown,5,Jakarta,ID,Male,IDR,9350000,Net,Monthly,,Verified
Data Scientist,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Male,IDR,6000000,Net,Monthly,,
Backend Engineer,Purchase to unlock 👆,Other / Unknown,6,Tangerang,ID,Female,IDR,12000000,Gross,Monthly,,
Backend Engineer,Purchase to unlock 👆,P2P Lending,1,Surabaya,ID,Prefer not to tell,IDR,6000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,10,Yogyakarta,ID,Male,IDR,33650000,Gross,Monthly,Health insurance for family,Verified
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,23000000,Gross,Monthly,"THR, 18 annual PTO, ESOP",
Android Developer,Purchase to unlock 👆,Other / Unknown,7,Bekasi,ID,Male,IDR,12500000,Net,Monthly,,
Project Manager,Traveloka,Other / Unknown,4,Jakarta,ID,Prefer not to tell,IDR,35999999,Net,Monthly,RSU Insurance,
Software Engineer,Purchase to unlock 👆,P2P Lending,1,Jakarta,ID,Prefer not to tell,IDR,8000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,3,Jakarta,ID,Male,IDR,18000000,Net,Monthly,"Pulsa Smartfren 250.000, Reimbursement Health, 14x Gaji setahun, BPJS",
